Date,previous_1d,EMA_12,willr_14,OBV_7,labels
2007-05-23,19.479999542236328,19.446153762072502,-62.84989895421005,22231100.0,2.0
2007-05-24,19.209999084472656,19.409822273210988,-64.2643046854908,19844000.0,2.0
2007-05-25,19.020000457763672,19.349849686219095,-69.41896452565354,17482000.0,2.0
2007-05-29,18.76000022888184,19.259103615859516,-66.0550611226406,16587000.0,2.0
2007-05-30,19.09000015258789,19.233087698433113,-50.917452062561026,19505800.0,2.0
2007-05-31,18.979999542236328,19.194151059018225,-51.2690650212471,16676500.0,2.0
2007-06-01,19.049999237060547,19.171973855640122,-42.134860356267254,20111700.0,0.0
2007-06-04,19.549999237060547,19.23013160662788,-14.044953452089084,22411100.0,2.0
2007-06-05,18.84000015258789,19.17011138292942,-53.93256982186637,16718400.0,2.0
2007-06-06,18.950000762939453,19.136248210623272,-47.75275601351004,21228400.0,2.0
2007-06-07,18.93000030517578,19.10451776363135,-69.04762625605129,18633100.0,2.0
2007-06-08,18.479999542236328,19.008438037262884,-80.0,15571000.0,2.0
2007-06-11,18.82999992370605,18.980986019792603,-58.78785076438481,17695100.0,1.0
2007-06-12,18.3799991607666,18.88852650301937,-86.06063058116348,15825100.0,2.0
2007-06-13,18.399999618530273,18.813368520790277,-78.65171790080066,24461300.0,2.0
2007-06-14,18.63999938964844,18.786696346768455,-65.16857544533387,27571500.0,2.0
2007-06-15,18.899999618530273,18.804127619347195,-50.56181099662249,35641200.0,2.0
2007-06-18,18.8799991607666,18.81580016418095,-51.68543298986747,32222300.0,2.0
2007-06-19,18.540000915527344,18.773369510541933,-70.78647110257685,30882400.0,2.0
2007-06-20,18.8700008392334,18.788235868802158,-52.2471368319989,33995400.0,2.0
2007-06-21,19.36000061035156,18.876199675194375,-24.719040924443426,38026900.0,2.0
2007-06-22,19.51000022888184,18.973707452684753,-5.696212464161538,42012600.0,2.0
2007-06-25,19.75,19.093137075348636,-5.464501947475994,53834600.0,2.0
2007-06-26,19.43000030517578,19.144962187629737,-22.950824798034702,51860200.0,2.0
2007-06-27,19.489999771118164,19.1980448927818,-19.672165320231343,54097200.0,2.0
2007-06-28,19.420000076293945,19.23219184409136,-23.49728541545286,51881200.0,2.0
2007-06-29,19.670000076293945,19.299546956737913,-11.764675883143887,54428400.0,2.0
2007-07-02,19.700000762939453,19.361155234615072,-10.160360172906014,56450600.0,2.0
2007-07-03,19.57999992370605,19.394823648321378,-20.261419168246107,54619000.0,2.0
2007-07-05,20.25,19.52638924088732,-0.5464606174183516,57579900.0,2.0
2007-07-06,20.520000457763672,19.67925250502214,-9.210491092342492,60220000.0,2.0
2007-07-09,20.82999992370605,19.85629056943505,-2.9166544145989968,62186900.0,2.0
2007-07-10,21.32999992370605,20.08301508547674,-2.1126571379834815,65059700.0,2.0
2007-07-11,20.649999618530273,20.170243475177283,-28.793768832286986,62692600.0,2.0
2007-07-12,20.1200008392334,20.162513838878223,-53.58646087680139,60304900.0,2.0
2007-07-13,20.43000030517578,20.203665602924,-42.105245546171275,63760300.0,2.0
2007-07-16,20.5,20.249255510166464,-39.035081848723785,65512000.0,2.0
2007-07-17,20.940000534057614,20.355523975380486,-19.911451770669483,68403700.0,2.0
2007-07-18,21.190000534057614,20.483904984407737,-8.849505988314839,72786800.0,2.0
2007-07-19,21.3700008392334,20.620227423611684,-18.777230745140663,81798100.0,0.0
2007-07-20,21.51000022888184,20.7571155474994,-12.663717632321193,90434600.0,2.0
2007-07-23,21.399999618530273,20.856020789196457,-17.621139822187942,86186200.0,2.0
2007-07-24,21.11000061035156,20.895094607835702,-33.014285948956235,81787200.0,2.0
2007-07-25,21.32999992370605,20.9620031179696,-24.999974636310238,87888400.0,2.0
2007-07-26,20.780000686645508,20.93400274391974,-56.666610152609145,85109300.0,2.0
2007-07-27,19.36000061035156,20.691848569524637,-83.27644917889586,75355000.0,2.0
2007-07-30,18.59000015258789,20.36848727461129,-93.58602285371741,70792200.0,2.0
2007-07-31,18.049999237060547,20.01179680729579,-83.7053656958205,61865300.0,1.0
2007-08-01,17.81999969482422,19.674597251530933,-88.83928457389068,58282400.0,2.0
2007-08-02,18.350000381469727,19.470813117675362,-74.67531716903153,65364600.0,2.0
2007-08-03,18.8799991607666,19.379918662766322,-63.20347946709818,72792400.0,2.0
2007-08-06,18.700000762939453,19.275315908946805,-67.09954958488316,69379600.0,2.0
2007-08-07,18.020000457763672,19.08219045491863,-81.81817431188865,63719800.0,2.0
2007-08-08,18.450000762939453,18.98493050230645,-72.51080624718742,66444800.0,2.0
2007-08-09,18.489999771118164,18.90878731289287,-70.36200354456135,69168900.0,2.0
2007-08-10,17.8700008392334,18.74897400925295,-84.38912845820204,65854600.0,2.0
2007-08-13,17.559999465942386,18.566054848743633,-86.88174724634202,61951600.0,2.0
2007-08-14,17.290000915527347,18.36973885901805,-92.20182904289122,59900800.0,2.0
2007-08-15,16.969999313354492,18.15439431353135,-78.0434912860072,54180700.0,1.0
2007-08-16,15.75,17.784487496064987,-84.46809106415063,50624700.0,2.0
2007-08-17,15.920000076293945,17.497643277638673,-78.50876303224068,56936800.0,2.0
2007-08-20,16.0,17.267236619540416,-76.75437890188176,61088800.0,2.0
2007-08-21,16.079999923706055,17.084584820181284,-74.99999477152286,63022400.0,2.0
2007-08-22,17.709999084472656,17.180802399303033,-39.25440243002886,68549600.0,2.0
2007-08-23,18.100000381469727,17.322217473482524,-25.29549809411705,73265500.0,2.0
2007-08-24,18.0,17.426491708331366,-24.6305393262597,70994200.0,0.0
2007-08-27,18.239999771118164,17.55164679491395,-15.601035431554612,71977800.0,2.0
2007-08-28,17.700000762939453,17.574470482302488,-29.41174892370192,70656700.0,2.0
2007-08-29,17.350000381469727,17.53993662063591,-35.04041034214801,69416200.0,2.0
2007-08-30,17.360000610351562,17.51225415751524,-34.77086239662209,70508900.0,2.0
2007-08-31,16.979999542236328,17.430368832087716,-45.01347868255164,69298400.0,1.0
2007-09-04,16.879999160766598,17.34569657496139,-47.70890672679709,68058500.0,2.0
2007-09-05,17.530000686645508,17.374051053682024,-30.188650144709154,70051300.0,2.0
2007-09-06,17.6200008392334,17.41188948222839,-27.762770045989722,71899200.0,0.0
2007-09-07,18.06999969482422,17.513137207243133,-15.977963024750874,74104700.0,2.0
2007-09-10,17.6200008392334,17.529577766010867,-36.91751947597815,72570900.0,2.0
2007-09-11,17.440000534057614,17.515796653402674,-44.814784072225045,70087500.0,2.0
2007-09-12,17.690000534057614,17.54259725042651,-52.45896855167642,72154200.0,2.0
