,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.7706422209739685,25.0%,12.5%,81.68316831683168%,60.869565217391305%,56.25%,73.03370786516854%,-36.32804622280537%,-84.61262633816898%
1,0.8127853870391846,12.5%,12.5%,86.69950738916256%,46.666666666666664%,42.857142857142854%,83.06878306878306%,-28.94307884382942%,578.6101671144571%
2,0.7568807601928711,20.0%,11.11111111111111%,81.4070351758794%,57.142857142857146%,61.111111111111114%,79.21348314606742%,-1.553201235731849%,-43.48984646355153%
3,0.7899543642997742,12.5%,18.181818181818183%,85.0%,71.42857142857143%,44.44444444444444%,84.94623655913979%,244.10375835916494%,204.7555150256389%
4,0.7981651425361633,33.333333333333336%,12.5%,84.57711442786069%,60.869565217391305%,58.333333333333336%,84.06593406593407%,3.422443500528225%,-90.78847131402492%
5,0.7853881120681763,12.5%,20.0%,84.07960199004975%,41.1764705882353%,47.36842105263158%,86.81318681318682%,23.967198881740405%,1621.9386064761043%
