,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.38164252042770386,72.72727272727273%,63.63636363636363%,34.5945945945946%,59.32203389830509%,46.753246753246756%,90.0%,14.751763024139272%,53.5836826651001%
1,0.3461538553237915,88.88888888888889%,60.0%,30.687830687830687%,57.8125%,51.21951219512195%,90.1639344262295%,40.48187769165026%,66.41259749999998%
2,0.39613527059555054,90.9090909090909%,80.0%,34.40860215053763%,61.111111111111114%,63.23529411764706%,83.33333333333333%,44.65611914623256%,24.380335833320625%
3,0.32692307233810425,85.71428571428571%,50.0%,30.05181347150259%,56.52173913043478%,59.21052631578947%,88.70967741935483%,14.30681732974037%,64.87407351390837%
4,0.3486238420009613,25.0%,75.0%,33.663366336633665%,54.666666666666664%,41.791044776119406%,80.0%,12.689025972709606%,23.7578138288879%
5,0.3835616409778595,42.857142857142854%,36.36363636363637%,38.308457711442784%,55.55555555555556%,48.07692307692308%,83.52941176470588%,12.752495011539303%,25.65490331684112%
6,0.39449542760849,80.0%,60.0%,36.36363636363637%,51.388888888888886%,48.529411764705884%,81.81818181818181%,-2.704191911349353%,1.1819906801032993%
7,0.35159817337989807,60.0%,50.0%,33.165829145728644%,56.16438356164384%,50.0%,82.1917808219178%,1.2069962777135699%,-26.14299892369747%
