,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.4155251085758209,7.6923076923076925,7.352941176470588,94.18604651162791,50.76923076923077,50.0,87.05882352941177,810.6370678544348,255.73168172693892
0,0.534246563911438,8.88888888888889,11.475409836065573,93.80530973451327,56.81818181818182,50.81967213114754,84.95575221238938,11.49279663527851,255.73168172693892
0,0.621004581451416,8.108108108108109,16.0,94.6969696969697,58.333333333333336,54.0,87.12121212121212,49.500331147463356,255.73168172693892
0,0.6621004343032837,9.67741935483871,15.555555555555555,94.4055944055944,50.0,60.0,86.7132867132867,56.308911096666655,255.73168172693892
0,0.7534246444702148,14.285714285714286,20.0,95.0920245398773,57.142857142857146,60.0,87.03703703703704,103.36074035300268,255.73168172693892
0,0.8082191944122314,18.75,20.833333333333332,94.41340782122904,68.75,58.333333333333336,87.07865168539325,152.40470676783926,255.73168172693892
0,0.835616409778595,9.090909090909092,26.31578947368421,93.65079365079364,54.54545454545455,57.89473684210526,86.17021276595744,160.33277411793892,255.73168172693892
0,0.8721461296081543,12.5,35.714285714285715,93.90862944162437,50.0,71.42857142857143,86.73469387755102,157.8428843487418,255.73168172693892
0,0.8858447670936584,16.666666666666668,36.36363636363637,93.56435643564356,50.0,63.63636363636363,86.56716417910448,474.99352059084464,255.73168172693892
0,0.8858447670936584,14.285714285714286,40.0,93.56435643564356,42.857142857142854,60.0,86.56716417910448,305.6051315545012,255.73168172693892
