,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.8145161271095276,18.181818181818183%,12.5%,86.8995633187773%,57.142857142857146%,68.18181818181819%,82.54716981132076%,8.998201370067582%,8.301816779556265%
1,0.7853881120681763,28.571428571428573%,36.36363636363637%,82.58706467661692%,61.53846153846154%,53.57142857142857%,85.3932584269663%,14.011203536472275%,25.784259382705677%
2,0.7702127695083618,16.666666666666668%,15.0%,83.33333333333333%,51.61290322580645%,50.0%,84.61538461538461%,-17.041873324317965%,-5.155468653640746%
3,0.7877697944641113,37.5%,15.384615384615385%,84.73895582329317%,52.17391304347826%,39.130434782608695%,84.84848484848484%,-37.5694793258477%,-74.30636298537254%
4,0.7788461446762085,11.11111111111111%,30.0%,83.5978835978836%,42.857142857142854%,57.142857142857146%,85.46511627906976%,47.13446710632325%,66.41259749999998%
5,0.7142857313156128,9.375%,7.407407407407407%,78.35820895522389%,46.774193548387096%,42.622950819672134%,81.74097664543524%,-35.8115660553503%,-43.967790105748165%
6,0.7797164916992188,15.217391304347826%,10.0%,84.71720818291216%,45.348837209302324%,40.67796610169491%,84.56549935149157%,-43.974698014506274%,-45.40318676573037%
